ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006354	DNA-templated transcription elongation	55/5381	135/18870	0.00147900340356642	0.0198138173292353	0.0158442037399671	ZC3H4/CDK9/SART3/HMGN1/MED18/INTS2/LDB1/GTF2F2/LARP7/INTS6/MED4/ERCC6/SCAF8/ENY2/MED15/MED8/TEFM/CTDP1/INTS12/SKIC8/MED23/RNF8/INTS13/MED11/SUPT6H/HTATSF1/BRD4/ELL/EAF1/MED16/CCNK/GTF2H5/INTS1/INTS3/TSFM/CCAR2/PARP1/HNRNPU/MED25/MED9/INTS14/MED14/RNF168/SHH/CTNNB1/ELOF1/MED28/ERCC3/MED1/MED24/NCBP2/ELL2/TCERG1/WDR82/MED26	55
GO:0043516	regulation of DNA damage response, signal transduction by p53 class mediator	20/5381	38/18870	0.00148254083509622	0.0198138173292353	0.0158442037399671	SMYD2/RPL26/SPRED1/DYRK1A/HIC1/KDM1A/EEF1E1/TP53/MIF/CD44/SNAI2/ZNF385A/SOX4/COPS3/ATM/MDM2/NPM1/PSMD10/ZMPSTE24/YJU2	20
GO:0009615	response to virus	153/5381	436/18870	0.00148499981455294	0.0198138173292353	0.0158442037399671	PTPRS/SEC14L1/SELENOK/AIMP1/CSNK1A1/RELA/ATG5/HNRNPUL1/SERINC3/BST2/NMI/NCBP3/UNC93B1/IFI6/PRF1/LSM14A/HSP90AA1/TBKBP1/UBE2N/SIN3A/RTP4/DDX1/CCDC92/BAX/BANF1/FGL2/TRIM13/VAMP8/TLR8/HIF1A/DDX17/LYST/IRF2/APOBEC3B/IFI27/NDUFAF4/SKP2/BECN1/SMAD3/JAK1/MEFV/HYAL3/STMN1/IRAK3/GPATCH3/TRIM8/ABCC9/PSMA2/CREBZF/ISG15/LAMTOR5/CXCL10/CCT5/PTPRC/ITCH/DHX16/WDFY4/POLR3E/IVNS1ABP/SENP7/TSPAN6/NT5C3A/AZI2/LILRB1/F2RL1/PLSCR1/IFIT1/ATG12/TRIM31/IFI44/SPON2/TARBP2/ELMOD2/IFNGR2/TRAF3IP1/SAMHD1/CXCL12/ILF3/AP1S1/RIPK3/TRIM38/FMR1/MAP3K14/APOBEC3C/TRIM22/IL17RA/DDX3X/TREM2/IRF9/OAS1/PARP9/AIM2/DDX21/SLFN11/POLR3B/GBP1/GPAM/IKBKB/CXCL9/ILRUN/IFITM3/SERINC5/C1QBP/TRIM52/PYCARD/ENO1/GBP3/TBX21/NLRP3/CCL22/GBF1/ACTA2/IFITM1/PQBP1/MAVS/DEFA3/CFL1/STAT2/RNF135/GRAMD4/IL10RB/PML/MAPK14/EXT1/STAT1/TRAF6/GBP7/EXOC1/IFITM2/GATA3/ADARB1/TRIM41/IFNGR1/EIF2AK4/PCBP2/CARD9/TLR7/JAK2/ZMPSTE24/CDK6/GSDME/RAB7B/TANK/RRP1B/OASL/IL33/APOBEC3F/IRF3/TBK1/FBXL2/IL15/FADD/AUP1	153
GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	18/5381	33/18870	0.00148611451624613	0.0198138173292353	0.0158442037399671	CITED2/HIPK2/CREBBP/SMAD4/EP300/ADAM17/SLC2A10/TGFBR3/ZEB2/GIPC1/RNF111/TGFB1I1/HSP90AB1/MYOCD/FERMT1/FLCN/CDKN1C/ING2	18
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	18/5381	33/18870	0.00148611451624613	0.0198138173292353	0.0158442037399671	CITED2/HMOX1/EPAS1/ARNT/EGR1/CEBPB/SIN3A/NCK2/HIF1A/DDIT3/TP53/KLF2/ATF3/ATF4/MAPK7/JUN/ATF6/HSPA5	18
GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	18/5381	33/18870	0.00148611451624613	0.0198138173292353	0.0158442037399671	CITED2/HIPK2/CREBBP/SMAD4/EP300/ADAM17/SLC2A10/TGFBR3/ZEB2/GIPC1/RNF111/TGFB1I1/HSP90AB1/MYOCD/FERMT1/FLCN/CDKN1C/ING2	18
GO:0001776	leukocyte homeostasis	46/5381	109/18870	0.00149032385581279	0.0198281953337445	0.0158557011727451	AXL/ITPKB/HCAR2/MERTK/BAX/PIK3CD/LIPA/HIF1A/ABL1/ADAM17/NCKAP1L/PPP2CA/ANXA1/CAMLG/NF1/TNFSF14/MIF/CCNB2/RPS6/SH2B2/LYN/MTHFD1/CSF1/RIPK3/PPP2R3C/DOCK10/SOS1/PDE4B/SASH3/AIM2/F2R/BAK1/GPAM/CXCR2/DOCK11/IL2RA/FAS/FLT3/RAG1/RC3H1/GCNT4/SLC39A3/MEF2C/CXCL6/FADD/LAT	46
GO:0030516	regulation of axon extension	40/5381	92/18870	0.00150762221629336	0.0200162924439955	0.0160061138311538	PTPRS/SEMA4D/MACF1/SEMA6A/SEMA6B/CYFIP1/MEGF8/SIN3A/DSCAM/ARHGAP4/TRPC5/CTTN/GSK3B/ABL1/SEMA4G/RYK/OLFM1/NRP1/RTN4/SEMA5A/CXCL12/SMURF1/BMPR2/TNR/CDK5/NTN1/GOLGA4/APOE/TTL/ZFYVE27/MAG/SEMA4C/PLXNA4/DNM2/PLXNA3/CDH4/ADCY10/WNT3/SEMA3A/FN1	40
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	25/5381	51/18870	0.00152826033904427	0.020205579806195	0.016157478279622	NDUFB6/NDUFA1/NDUFB8/NDUFA8/NDUFB5/PARK7/NDUFA9/NDUFC1/NDUFS4/NDUFB3/NDUFB2/NDUFS3/NDUFA4/NDUFB9/NDUFS5/NDUFA10/NDUFA3/NDUFS2/NDUFAB1/NDUFAF1/NDUFA5/PINK1/NDUFB1/NDUFA2/DNAJC15	25
GO:0051496	positive regulation of stress fiber assembly	25/5381	51/18870	0.00152826033904427	0.020205579806195	0.016157478279622	NF2/ROCK2/LIMCH1/RAPGEF3/ABL1/TPM1/FHOD1/SMAD3/S100A10/ITGB1BP1/NRP1/RHOC/GPR65/EVL/ARHGEF10L/ARHGEF5/WNT4/FERMT2/CCDC88A/PPM1F/SORBS3/CARMIL1/ARHGEF15/ARHGEF10/WNT11	25
GO:0032006	regulation of TOR signaling	59/5381	147/18870	0.00156030331288781	0.0205862518344136	0.0164618842945247	CSNK1A1/PDCD6/SIK3/SEH1L/DEPDC5/TSC2/RPTOR/RRAGC/NPRL3/LAMTOR3/PRKACA/UBE2N/EP300/LAMTOR2/RHEB/TNFAIP8L1/HIF1A/PRKAA1/NCKAP1L/SZT2/RNF152/USP7/GPR137B/PIP4P1/FNIP1/SMCR8/TSC1/LAMTOR5/RELN/SESN1/UBR2/RBX1/RNF167/FNIP2/AKT3/RRAGA/TREM2/ATM/ARMH4/USP9X/FLCN/SESN3/CASTOR2/CLEC16A/LAMTOR4/WDR24/PKHD1/TTI1/TBC1D7/PRKAA2/NPC1/PIH1D1/ZMPSTE24/SYK/MTM1/GOLPH3/UBE3A/TBK1/SLC38A9	59
GO:0031346	positive regulation of cell projection organization	127/5381	355/18870	0.00163036025271276	0.0214593450728054	0.0171600570354562	SEMA4D/TIAM1/RREB1/FSCN1/MACF1/SCN1B/PLXNB1/ROBO1/PLXND1/IGF1R/PLXNB2/EEF2K/ATP1B2/CYFIP1/P2RY12/HSP90AA1/BRK1/MEGF8/CUX2/RAPGEF1/NCKIPSD/DSCAM/RAB8B/EP300/KDM1A/IFT20/SCARF1/TRPC5/PRKCI/GSK3B/ABL1/DVL3/CORO1B/NDEL1/STMN2/CFLAR/IST1/TNN/GRIP1/NRP1/CDC42EP4/AUTS2/ARHGAP35/RELN/APC/OCLN/DLG4/SEMA5A/PLXNA2/LYN/DDR2/F2RL1/PLXNA1/ATP7A/ITGA6/GPM6A/RAC2/MNS1/RAPGEF2/EHD1/PARP6/CXCL12/OBSL1/SMURF1/WASL/KIDINS220/FMR1/NEURL1/TUBB2B/TRAK1/BMPR2/CARMIL2/STYXL1/ARSB/VLDLR/COBL/PTK2B/NTN1/NDNF/GOLGA4/APOE/ENC1/NEDD9/FBXW8/ZFYVE27/CENPJ/PALM/MARK2/EPS8/DOCK11/FBXO38/RGS2/FEZ1/ARHGEF7/CUX1/TENM3/CCDC88A/PLXNA4/RIPOR2/AGRN/PRKD1/PLXNB3/PLXNA3/CARMIL1/EPS8L2/CDH4/ARPC2/FZD4/SETX/HAP1/AVIL/CROCC/SEPTIN9/ADCY10/FZD1/WNT3/ATF1/AP2A1/DVL1/DPYSL3/GPRASP3/SERPINF1/PLEKHM1/NTRK3/CAPRIN1/FN1/AKIRIN1	127
GO:0061572	actin filament bundle organization	65/5381	165/18870	0.00163325506475481	0.0214593450728054	0.0171600570354562	ARHGEF18/PDXP/SHANK3/RFLNB/FSCN1/NF2/F11R/CLASP1/ROCK2/SORBS1/DLC1/LIMCH1/RAPGEF3/ABL1/CORO1B/ESPNL/TPM1/SPIRE1/FHOD1/SMAD3/S100A10/STMN1/ARHGAP6/ACTN1/ITGB1BP1/NRP1/ALMS1/TSC1/CGNL1/TJP1/RHOC/PHACTR1/ZEB2/GPR65/MKKS/S1PR1/EVL/ARRB1/ARHGEF10L/ARHGEF5/WAS/PLEK/PTK2B/SYNPO2/PPFIA1/PTGER4/WNT4/NEDD9/ELN/EPS8/FERMT2/CCDC88A/MET/PPM1F/CLASP2/SORBS3/PLS3/CARMIL1/ZYX/ARHGEF15/ARHGEF10/PAWR/DPYSL3/HSP90B1/WNT11	65
GO:0007623	circadian rhythm	78/5381	204/18870	0.00163926470808626	0.0214937130358391	0.017187539524034	PER2/THRAP3/SPSB4/ROCK2/EGR1/MTA1/CRTC1/DYRK1A/TOP2A/KDM2A/SIN3A/PHLPP1/PER3/NONO/EP300/PRKDC/F7/OGT/GSK3B/BMAL2/HUWE1/PRKAA1/TYMS/NDUFA9/USP7/CIPC/TP53/PTGDS/HNRNPD/ASS1/CSNK1E/CDK1/RAI1/SUV39H2/NCOA2/BTBD9/KCNH7/HDAC1/PROX1/PPARA/C3orf70/TNFRSF11A/TOP1/PPARGC1A/MYBBP1A/PER1/ATF4/MTTP/CCAR2/NR1D2/PARP1/HNRNPU/RORA/USP9X/GNAQ/GPR176/USP2/RBM4B/SFPQ/RELB/PML/FXR1/TARDBP/NAGLU/ADRB1/KAT5/PRKAA2/DRD4/SETX/HTR7/IMPDH2/KDM5A/RORC/PIWIL2/UBE3A/HOMER1/NFIL3/NR0B2	78
GO:0045446	endothelial cell differentiation	51/5381	124/18870	0.00168846510673535	0.0220930775226343	0.0176668238984423	PTPRS/NOTCH4/CDH5/ACVRL1/NOTCH1/KDR/PDE2A/SOX18/F11R/KDM6B/TJP2/SMAD4/ROCK2/RAP1B/ROBO4/BMP6/MARVELD2/BTG1/RAPGEF1/RAPGEF3/EDF1/TNFRSF1A/LIPA/NRP1/PPP1R16B/F2RL1/PROX1/TJP1/NR2F2/RAPGEF2/HEG1/S1PR1/TIE1/GPX1/CCM2/BMPR2/PDE4D/PECAM1/NRG1/IKBKB/HOXB5/CTNNB1/TNMD/ICAM1/MET/COL18A1/CLIC4/CLDN1/FZD4/DLL1/FZD1	51
GO:0042542	response to hydrogen peroxide	43/5381	101/18870	0.00169951441079481	0.0221918036362135	0.0177457706572628	AXL/ERN1/HMOX1/RELA/ADAM9/KDM6B/FABP1/NET1/PCNA/RPS3/CAPN2/ABL1/PRKAA1/PARK7/PRDX3/ANXA1/BECN1/KLF2/CDK1/TXN/COL1A1/PPP2CB/ZNF277/CBX8/RIPK3/CRYAB/GPX1/PPP1R15B/NQO1/MAP1LC3A/MAPK7/AQP1/OSER1/ZNF580/MDM2/PTK2B/BAK1/HSF1/STAT1/GLRX2/SETX/FXN/IL18BP	43
GO:0002429	immune response-activating cell surface receptor signaling pathway	115/5381	318/18870	0.00172382350836234	0.0224562439843139	0.0179572315122182	CR1/VAV1/LCP2/SCIMP/FYB2/RELA/INPP5D/CRKL/CREBBP/CD38/S100A14/CMKLR1/RNF31/NMI/BTN2A2/UBE2N/THEMIS2/THY1/PTPRJ/NFAM1/FCER1G/TMEM126A/BLK/BAX/EP300/PIK3CD/RPS3/FCN2/C3AR1/LIPA/TLR4/PTPN2/ABL1/SLC39A10/LAPTM5/NCKAP1L/GPLD1/LILRA2/HCK/PRKCH/RAB29/CD300A/SKAP1/VAV3/PTPRC/SH2B2/PRKCB/LYN/FPR2/F2RL1/PLSCR1/TLR1/APPL1/DGKZ/FPR1/KHDRBS1/SOS1/PDE4B/ZAP70/PJA2/FCHO1/TREM2/PDE4D/CYBA/BAG6/RABGEF1/BMX/CD79B/IFI35/OAS1/LAT2/GBP1/IKBKB/LIME1/PELI1/NFKBIZ/EIF2B5/LGALS3/EIF2B4/TLR6/WNK1/CARD11/KLHL6/PLCG1/APPL2/TRAF6/PTK2/NAGLU/CD226/DUSP22/NR4A3/GATA3/CMTM3/PTPN6/RC3H1/MYO1G/FCRL3/COLEC11/PAWR/SYK/CD276/BTN3A2/RAB7B/TIRAP/C5AR2/TNFRSF21/CD247/BTN3A3/EIF2B1/MEF2C/CLEC7A/SH2D1A/PLCG2/ELF1/LAT	115
GO:0051894	positive regulation of focal adhesion assembly	15/5381	26/18870	0.00173436394069339	0.0224562439843139	0.0179572315122182	KDR/TEK/THY1/PTPRJ/ABL1/SMAD3/S100A10/ITGB1BP1/NRP1/TSC1/COL16A1/WNT4/FERMT2/PPM1F/EPB41L5	15
GO:0006390	mitochondrial transcription	12/5381	19/18870	0.00173749558697518	0.0224562439843139	0.0179572315122182	PRKAA1/MTERF2/MTRES1/TEFM/MTERF3/POLRMT/SLC25A33/MTERF1/TFB2M/TFB1M/CHCHD10/PPARGC1B	12
GO:0042772	DNA damage response, signal transduction resulting in transcription	12/5381	19/18870	0.00173749558697518	0.0224562439843139	0.0179572315122182	RPS27L/HIPK2/RPL26/FOXM1/CDKN1A/TP53/SP100/TFAP4/ZNF385A/COPS3/KAT5/CHEK2	12
GO:0061298	retina vasculature development in camera-type eye	12/5381	19/18870	0.00173749558697518	0.0224562439843139	0.0179572315122182	ACVRL1/LRP5/HIF1A/NRP1/ROM1/BMPR2/PDGFRA/CLIC4/FZD4/ARHGEF15/PDGFRB/LAMA1	12
GO:0010720	positive regulation of cell development	155/5381	444/18870	0.00176879397014922	0.022814200026385	0.0182434725916774	CR1/ETV5/AXL/SEMA4D/SHANK3/CDH5/TIAM1/NOTCH1/RELA/MACF1/SPEN/SMARCC2/DUSP10/INPP5D/ZBTB46/F11R/NKAP/ITPKB/ACE/CCR1/PLXNB1/ROBO1/PLXND1/DICER1/RPTOR/PLXNB2/EEF2K/CYFIP1/BTN2A2/MEGF8/CUX2/SOX13/ADAM8/SPI1/DSCAM/PRKDC/KDM1A/LILRB2/RHEB/CYSLTR1/TRPC5/TNFRSF1B/HIF1A/PRKCI/BRD7/TGFB1/NCKAP1L/IST1/ANXA1/SRRT/TGFBR2/NRP1/PRKCH/HAX1/SMARCA2/CBFB/RELN/ZMIZ1/PTPRC/ZNF335/HCLS1/RFX3/ACTB/SEMA5A/PLXNA2/FAIM/SMARCE1/LYN/HDAC1/SOCS1/PLXNA1/CD4/MECP2/NAP1L1/CSF1/PARP6/DCSTAMP/CXCL12/EVI2B/MMP14/OBSL1/SMURF1/PPP2R3C/NEURL1/SOX4/UFL1/TRAK1/XBP1/SASH3/BMPR2/ZAP70/VNN1/TREM2/SMARCB1/CD86/ITGB1/NTN1/GOLGA4/PRKCA/NEDD9/RARA/CASP8/IL34/FBXW8/CD46/ZFYVE27/NFKBIZ/GPER1/MAG/SHH/CTNNB1/NLRP3/HSF1/RUNX1/ACTL6A/IL2RA/CUX1/FGF2/IL6ST/PLXNA4/TRAF6/NIBAN2/KAT5/GATA3/RAG1/ZFP36L1/FOS/PLXNB3/PLXNA3/RNF112/CDH4/PPARGC1B/TNFSF11/IL7/ACAN/FZD4/HAP1/GFAP/ADCY10/SERPINE2/SYK/RASGRP1/WNT3/IL33/CDON/GPRASP3/SERPINF1/AGER/CAPRIN1/CLEC7A/IL15/FN1/NOTCH2/MAN2A1/FADD	155
GO:0045454	cell redox homeostasis	21/5381	41/18870	0.00178294394902655	0.0229499675389942	0.0183520396636002	SELENOS/NOS3/PRDX4/PRDX3/SLC2A10/PRDX5/DDIT3/ERP44/TXN/EGLN2/SELENOT/PRDX6/HVCN1/PRDX1/TXNRD3/GPX1/NQO1/GIT1/GLRX3/TXNRD1/GLRX2	21
GO:0030833	regulation of actin filament polymerization	55/5381	136/18870	0.00180345270144051	0.0231668680694173	0.0185254851000967	SPTBN2/ARPC5/SSH2/CCL24/SPTBN1/FCHSD2/CYFIP1/SSH1/PREX1/CAPG/SSH3/NCK2/CYRIA/CTTN/TMSB10/NCKAP1L/PLEKHG2/ARPC3/TMOD3/HCK/LATS1/CDC42EP4/HAX1/ABITRAM/HCLS1/DAAM2/KANK3/COTL1/ADD3/MKKS/EVL/SPTBN4/ARFGEF1/CARMIL2/KANK1/ARF6/FLII/PTK2B/PYCARD/ELN/ARHGAP18/SVIL/GSN/ARPC5L/KANK2/EPS8/ALOX15/FER/TRIOBP/CARMIL1/ARPC2/AVIL/SNX9/TMOD2/ESAM	55
GO:0032231	regulation of actin filament bundle assembly	45/5381	107/18870	0.00181165004185749	0.0232250601519908	0.0185720186477229	ARHGEF18/SHANK3/NF2/F11R/CLASP1/ROCK2/DLC1/LIMCH1/RAPGEF3/ABL1/TPM1/FHOD1/SMAD3/S100A10/STMN1/ARHGAP6/ITGB1BP1/NRP1/ALMS1/TSC1/CGNL1/TJP1/RHOC/GPR65/MKKS/S1PR1/EVL/ARHGEF10L/ARHGEF5/WAS/PLEK/SYNPO2/PPFIA1/PTGER4/WNT4/FERMT2/CCDC88A/MET/PPM1F/CLASP2/SORBS3/CARMIL1/ARHGEF15/ARHGEF10/WNT11	45
GO:0005977	glycogen metabolic process	34/5381	76/18870	0.00184642194021061	0.0235441643551658	0.0188271916881004	SELENOS/PHKA1/PER2/PRKAG2/SORBS1/PCDH12/GSK3B/IRS1/GYS1/PPP1R3G/GNMT/ENPP1/GABARAPL1/NHLRC1/IGF1/PPP1R3B/POMC/PPP1R3C/GYG2/PHKB/DYRK2/AGL/IGF2/RUBCNL/UGP2/LEPR/IL6ST/STK40/PPP1R3E/RB1CC1/GAA/PTGES3/ADCY10/G6PC1	34
GO:0034644	cellular response to UV	39/5381	90/18870	0.00184774184084768	0.0235441643551658	0.0188271916881004	CREBBP/TRIAP1/RPL26/BAX/PCNA/EP300/KDM1A/CDKN1A/XPA/HYAL3/TP53/PTPRK/SDE2/COPS9/RBX1/RHNO1/MMP9/DDB2/MFAP4/AURKB/TAF1/ATF4/PARP1/AQP1/ST20/MDM2/BAK1/TIMP1/PPID/POLD1/NPM1/MYC/TMEM161A/MAPK14/POLH/EIF2AK4/NFATC4/BMF/PBK	39
GO:0035904	aorta development	30/5381	65/18870	0.00184832662581162	0.0235441643551658	0.0188271916881004	ACVRL1/NOTCH1/PDE2A/ENG/SMAD6/DLL4/ROBO1/PLXND1/NPRL3/SUFU/LRP1/HECTD1/COL3A1/TAB1/MYLK/TGFBR2/PKD2/CNTRL/DCTN5/EFNB2/PROX1/SNX17/NDST1/SOX4/NAGLU/GAA/FKBP10/LOXL1/PDGFRB/APLNR	30
GO:0007064	mitotic sister chromatid cohesion	17/5381	31/18870	0.00185268314886722	0.0235441643551658	0.0188271916881004	CDC20/CHTF8/BOD1/POGZ/MACROH2A1/NAA10/SLF1/SMC5/HDAC8/PDS5A/SGO1/BUB1/MAU2/NAA50/TNKS/SLF2/NSMCE2	17
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	19/5381	36/18870	0.00185512995629682	0.0235441643551658	0.0188271916881004	FCF1/UTP20/RPS19/DCAF13/BYSL/RPS8/HEATR1/GTF2H5/NGDN/WDR46/TSR2/UTP3/UTP23/ABT1/UTP25/UTP6/BMS1/LOC102724159/RCL1	19
GO:0050921	positive regulation of chemotaxis	58/5381	145/18870	0.00186651371497056	0.0235940745646877	0.0188671026005323	CSF1R/LGMN/TIAM1/KDR/CCR1/S100A14/CMKLR1/DAPK2/P2RY12/MEGF8/SPI1/DSCAM/C3AR1/STX3/F7/ADAM17/EDN2/TGFB1/NCKAP1L/SMAD3/IL16/NRP1/TNFSF14/FGFR1/CXCL10/SEMA5A/FPR2/F2RL1/SUCNR1/RAC2/PGF/CSF1/MCU/S1PR1/CXCL12/BMPR2/TREM2/ZNF580/CREB3/PTK2B/CXCR2/NEDD9/IL34/C1QBP/TMEM102/PDGFRA/WNK1/FGF2/MET/PPM1F/RIPOR2/PTK2/PRKD1/TIRAP/PDGFRB/NTRK3/AGER/AKIRIN1	58
GO:2001235	positive regulation of apoptotic signaling pathway	58/5381	145/18870	0.00186651371497056	0.0235940745646877	0.0188671026005323	STK4/RPS7/SERINC3/RPL26/CASP2/BAX/RPL11/RPS3/NCK2/TLR4/UBB/PTPN2/EEF1E1/BBC3/PARK7/TNFRSF12A/WWOX/BECN1/DDIT3/TP53/BCAP31/NF1/CTSL/PDIA3/PIAS4/PTPRC/LTB/TRIM39/ATF3/FBH1/RIPK3/CTSC/VNN1/CTSK/STYXL1/PLEKHF1/MCL1/PYCARD/NACC2/FLCN/GPER1/SFPQ/TLR6/MYC/CYLD/PML/FAS/PEA15/ADCY10/JAK2/GSDME/HTRA2/BCLAF1/INHBA/NFATC4/TPD52L1/FADD/RACK1	58
GO:0032968	positive regulation of transcription elongation by RNA polymerase II	24/5381	49/18870	0.00191153095092901	0.0240690361465158	0.0192469076601075	CDK9/MED18/LDB1/MED4/MED15/MED8/MED23/MED11/SUPT6H/BRD4/ELL/MED16/CCNK/MED25/MED9/MED14/CTNNB1/MED28/MED1/MED24/NCBP2/ELL2/TCERG1/MED26	24
GO:0034614	cellular response to reactive oxygen species	61/5381	154/18870	0.0019116888017839	0.0240690361465158	0.0192469076601075	AXL/ERN1/RELA/NOS3/PEX2/KDM6B/FABP1/NET1/PCNA/RPS3/CD36/ABL1/PRKAA1/PARK7/TPM1/PRDX3/PRDX5/ANXA1/BECN1/KLF2/TRAP1/PKD2/CDK1/PTPRK/TXN/ZNF277/DDR2/PRDX1/ATP7A/CBX8/PDCD10/MMP9/RIPK3/NQO1/MAP1LC3A/MAPK7/ATM/AQP1/OSER1/JUN/ZNF580/MDM2/SQSTM1/MPO/PDGFRA/HSF1/MPV17L2/NCF1/MET/FER/FOS/PINK1/GLRX2/PPARGC1B/SETX/PAWR/ADPRS/CCS/FXN/IL18BP/RACK1	61
GO:0006893	Golgi to plasma membrane transport	27/5381	57/18870	0.00191922906197597	0.024116027082329	0.0192844841628371	MACF1/SPTBN1/EXOC6B/GGA3/LLGL1/OSBPL5/KRT18/VAMP3/SYS1/RAB31/COMMD1/GOLPH3L/EXOC8/EXOC6/CCDC93/GOLGA4/OPTN/GGA2/BBS2/EXOC1/PKDCC/BLZF1/GOLPH3/GOPC/ARL3/ANK3/RACK1	27
GO:0007030	Golgi organization	62/5381	157/18870	0.00192309722351856	0.0241167816169169	0.0192850875296463	CSNK1A1/CLASP1/MYO18A/GAK/EHD3/RAB43/GOLGB1/TMED5/HUWE1/TMED9/RAB8A/COG8/VCPIP1/YIPF4/COG5/STX18/RAB29/UBXN2A/HIKESHI/CDK1/VPS13B/ARL1/TRAPPC12/FAM174B/ATP8B1/PDCD10/VMP1/TMED2/TRAPPC11/OBSL1/VTI1B/SYNE1/ATP8B2/ATP8B4/VRK1/GOLPH3L/SURF4/ARFGEF1/BHLHA15/PLK1/PI4K2A/PLEKHM2/FBXW8/GBF1/VAMP4/OPTN/ARHGEF7/NAGLU/CLASP2/PRKD1/RAB1A/GOLGA6B/PI4K2B/RAB2A/BET1/TRIP11/STX5/TMED3/BLZF1/GOLPH3/COG3/GOLGA5	62
GO:0045786	negative regulation of cell cycle	143/5381	407/18870	0.00196467965864822	0.0245895578620933	0.0196631450754246	RPS27L/TRIAP1/PPP1R13B/GAS1/BTN2A2/RPL26/PSMG2/BABAM1/BTG1/CASP2/JADE1/CCNB1/NME6/CDC20/PRKDC/RPA4/TPR/ABL1/RBBP8/BRD7/TGFB1/SYF2/CDKN1A/WEE1/PRAP1/TAOK2/PLK2/TP53/GIGYF2/NAE1/LATS1/ERCC6/KNL1/HHEX/TERF2/PKD2/RAD51/CDK1/PTPRK/AURKAIP1/CCNG1/MAD2L1/CDK5RAP1/APC/NSUN2/RAD1/MAD2L1BP/SDE2/MACROH2A1/TRIM39/AVEN/CCL2/BIRC5/TIPRL/FBXO6/NAA10/LILRB1/ESPL1/MRE11/RNF167/TFAP4/RHNO1/PROX1/ANAPC15/DOT1L/NR2F2/MDC1/RNASEH2B/PKMYT1/BRCC3/APBB2/TICRR/AURKB/CLSPN/TIPIN/TTI2/CDKN2D/UFL1/LCMT1/INTS3/NR4A1/CCAR2/ATM/INCENP/PLK1/CDKN2A/TRIP13/MDM2/SPC24/LATS2/PARP9/CDK5/SLFN11/GPR132/MYOCD/ZNF655/BTG3/YTHDC2/RBL2/NACC2/GPER1/ANGEL2/CEBPA/KANK2/CDKN1C/CTNNB1/MYO16/SPC25/BUB1/NEK2/NDC80/NPM1/CDK5RAP3/FBXO7/WAPL/PML/TOM1L2/MAPK14/E2F1/NOP53/CHEK2/TAF6/TTI1/GATA3/ZFP36L1/DONSON/SMARCA5/GMNN/EIF2AK4/TNKS/CDK6/HPGD/FHL1/HTRA2/PABIR1/ZWINT/VPS4A/NPR2/HINFP/E2F8/INHBA/TP53BP1/CHMP2A	143
GO:0052548	regulation of endopeptidase activity	105/5381	288/18870	0.00197099917361137	0.0246199955946367	0.0196874847383874	CR1/RPS27L/LGMN/HSPE1/ATP13A2/CYCS/TIMP2/PDCD6/TRIAP1/SERPINA7/ROBO1/FABP1/PSME2/ROCK2/IFI6/DAPK1/NAIP/PDCD5/DLC1/CASP2/BAX/RPS3/HIP1/BBC3/PARK7/EGLN3/LAPTM5/BIRC3/PDCD2/SMAD3/MEFV/SPOCK3/BCAP31/FNIP1/ACER2/LAMTOR5/CD44/CTSD/SERPINB9/LYN/PSENEN/HDAC1/CST3/CASP8AP2/PSMA3/MMP9/SERPINA5/PERP/MBP/FURIN/XIAP/GPX1/CDKN2D/DDX3X/AQP1/DHCR24/ST20/AIM2/F2R/BAK1/SERPINB8/PSMB8/TIMP1/SERPINA10/SORL1/SERPINB1/CASP8/ANP32B/PYCARD/GPER1/VTN/GSN/NLRP3/ARL6IP1/NLRP12/MYC/GRAMD4/FAS/PPM1F/NLRC4/DNAJB6/SERPINH1/SERPINA1/CARD9/SERPINA6/PIH1D1/PSMB9/JAK2/APH1B/BCL2L13/SERPINE2/SYK/ATP2A3/HTRA2/ACVR1C/CARD16/CST7/SERPINF1/AGER/CLEC7A/FADD/HSPD1/LAMP3/RACK1/NOL3	105
